"sno (N)","city (S)","competition (S)","date (S)","gender (S)","match_referee (S)","season (S)","team0 (S)","team1 (S)","toss_decision (S)","toss_winner (S)","umpire (S)","venue (S)","player_of_match (S)","tv_umpire (S)","winner (S)","match_number (S)","umpire13 (S)","reserve_umpire (S)","winner_wickets (S)","winner_runs (S)","neutralvenue (S)","1 (S)","reserve_umpire13 (S)","outcome (S)"
"185","Jaipur","Indian Premier League","2011/04/15","male","AJ Pycroft","2011","Rajasthan Royals","Kolkata Knight Riders","field","Kolkata Knight Riders","Aleem Dar","Sawai Mansingh Stadium","G Gambhir","RB Tiffin","Kolkata Knight Riders","12","SS Hazare","R Subramanian","9",,,,,
"294","Delhi","Indian Premier League","2012/05/07","male","AJ Pycroft","2012","Delhi Daredevils","Kolkata Knight Riders","bat","Delhi Daredevils","JD Cloete","Feroz Shah Kotla","JH Kallis","SJA Taufel","Kolkata Knight Riders","51","S Ravi","R Risodkar","6",,,,,
"264","Mumbai","Indian Premier League","2012/04/16","male","RS Madugalle","2012","Mumbai Indians","Delhi Daredevils","field","Delhi Daredevils","BF Bowden","Wankhede Stadium","S Nadeem","VA Kulkarni","Delhi Daredevils","19","SK Tarapore","PG Pathak","7",,,,,
"582","Mumbai","Indian Premier League","2017/04/22","male","J Srinath","2017","Mumbai Indians","Delhi Daredevils","field","Delhi Daredevils","A Nand Kishore","Wankhede Stadium","MJ McClenaghan","KN Ananthapadmanabhan","Mumbai Indians","25","S Ravi","Navdeep Singh",,"14",,,,
"607","Kanpur","Indian Premier League","2017/05/10","male","V Narayan Kutty","2017","Gujarat Lions","Delhi Daredevils","field","Delhi Daredevils","YC Barde","Green Park","SS Iyer","Nitin Menon","Delhi Daredevils","50","AK Chaudhary","K Srinivasan","2",,,,,
"387","Bangalore","Indian Premier League","2013/05/18","male","AJ Pycroft","2013","Royal Challengers Bangalore","Chennai Super Kings","field","Chennai Super Kings","C Shamshuddin","M Chinnaswamy Stadium","V Kohli","S Das","Royal Challengers Bangalore","70","RJ Tucker","KN Ananthapadmanabhan",,"24",,,,
"220","Kolkata","Indian Premier League","2011/05/07","male","Raju Mukherjee","2011","Kolkata Knight Riders","Chennai Super Kings","bat","Chennai Super Kings","Asad Rauf","Eden Gardens","Iqbal Abdulla","S Asnani","Kolkata Knight Riders","48","PR Reiffel","S Das",,"10",,,,
"322","Pune","Indian Premier League","2013/04/07","male","RS Madugalle","2013","Pune Warriors","Kings XI Punjab","bat","Pune Warriors","S Asnani","Subrata Roy Sahara Stadium","M Vohra","CK Nandan","Kings XI Punjab","6","SJA Taufel","PG Pathak","8",,,,,
"496","Pune","Indian Premier League","2015/05/20","male","RS Mahanama","2015","Royal Challengers Bangalore","Rajasthan Royals","bat","Royal Challengers Bangalore","C Shamshuddin","Maharashtra Cricket Association Stadium","AB de Villiers","CB Gaffaney","Royal Challengers Bangalore",,,,,"71",,"0.1","K Srinath",
"260","Delhi","Indian Premier League","2012/04/19","male","RS Madugalle","2012","Delhi Daredevils","Deccan Chargers","bat","Deccan Chargers","BF Bowden","Feroz Shah Kotla","KP Pietersen","VA Kulkarni","Delhi Daredevils","23","SK Tarapore","S Dua","5",,,,,
"351","Jaipur","Indian Premier League","2013/04/27","male","RS Madugalle","2013","Rajasthan Royals","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","VA Kulkarni","Sawai Mansingh Stadium","JP Faulkner","M Erasmus","Rajasthan Royals","36","K Srinath","Tapan Sharma","8",,,,,
