"sno (N)","city (S)","competition (S)","date (S)","gender (S)","match_referee (S)","season (S)","team0 (S)","team1 (S)","toss_decision (S)","toss_winner (S)","umpire (S)","venue (S)","player_of_match (S)","tv_umpire (S)","winner (S)","match_number (S)","umpire13 (S)","reserve_umpire (S)","winner_wickets (S)","winner_runs (S)","neutralvenue (S)","1 (S)","reserve_umpire13 (S)","outcome (S)"
"122","Delhi","Indian Premier League","2010/03/17","male","S Venkataraghavan","2009/10","Delhi Daredevils","Mumbai Indians","field","Delhi Daredevils","BR Doctrove","Feroz Shah Kotla","SR Tendulkar","S Ravi","Mumbai Indians","9","SK Tarapore","A Chaudhary",,"98",,,,
"273","Mumbai","Indian Premier League","2012/04/22","male","Raju Mukherjee","2012","Mumbai Indians","Kings XI Punjab","bat","Mumbai Indians","S Ravi","Wankhede Stadium","SE Marsh","JD Cloete","Kings XI Punjab","28","RJ Tucker","PG Pathak","6",,,,,
"513","Rajkot","Indian Premier League","2016/04/21","male","S Chaturvedi","2016","Gujarat Lions","Sunrisers Hyderabad","field","Sunrisers Hyderabad","K Bharatan","Saurashtra Cricket Association Stadium","B Kumar","AY Dandekar","Sunrisers Hyderabad","15","HDPK Dharmasena","A Deshmukh","10",,,,,
"333","Jaipur","Indian Premier League","2013/04/14","male","AJ Pycroft","2013","Rajasthan Royals","Kings XI Punjab","field","Rajasthan Royals","Aleem Dar","Sawai Mansingh Stadium","JP Faulkner","S Das","Rajasthan Royals","18","C Shamshuddin","Tapan Sharma","6",,,,,
"145","Chennai","Indian Premier League","2010/04/03","male","AJ Pycroft","2009/10","Chennai Super Kings","Rajasthan Royals","bat","Chennai Super Kings","RE Koertzen","MA Chidambaram Stadium","M Vijay","BG Jerling","Chennai Super Kings","32","RB Tiffin","J Madanagopal",,"23",,,,
"195","Chandigarh","Indian Premier League","2011/04/21","male","J Srinath","2011","Kings XI Punjab","Rajasthan Royals","field","Rajasthan Royals","S Asnani","Punjab Cricket Association Stadium","SE Marsh","RJ Tucker","Kings XI Punjab","23","PR Reiffel","K Bharatan",,"48",,,,
"501","Chandigarh","Indian Premier League","2016/04/11","male","Chinmay Sharma","2016","Kings XI Punjab","Gujarat Lions","field","Gujarat Lions","AK Chaudhary","Punjab Cricket Association IS Bindra Stadium","AJ Finch","A Nand Kishore","Gujarat Lions","3","VA Kulkarni","K Bharatan","5",,,,,
"359","Raipur","Indian Premier League","2013/05/01","male","RS Mahanama","2013","Delhi Daredevils","Kolkata Knight Riders","bat","Kolkata Knight Riders","HDPK Dharmasena","Shaheed Veer Narayan Singh International Stadium","DA Warner","S Ravi","Delhi Daredevils","44","CK Nandan","VK Sharma","7",,,,,
"668","Kolkata","Indian Premier League","2017/04/28","male","AJ Pycroft","2017","Kolkata Knight Riders","Delhi Daredevils","field","Kolkata Knight Riders","NJ Llong","Eden Gardens","G Gambhir","VK Sharma","Kolkata Knight Riders","32","S Ravi","Navdeep Singh","7",,,,,
"583","Pune","Indian Premier League","2017/04/22","male","M Nayyar","2017","Rising Pune Supergiant","Sunrisers Hyderabad","field","Rising Pune Supergiant","AY Dandekar","Maharashtra Cricket Association Stadium","MS Dhoni","NJ Llong","Rising Pune Supergiant","24","A Deshmukh","N Pandit","6",,,,,
"395","Abu Dhabi","Indian Premier League","2014/04/18","male","AJ Pycroft","2014","Sunrisers Hyderabad","Rajasthan Royals","field","Rajasthan Royals","RK Illingworth","Sheikh Zayed Stadium","AM Rahane","C Shamshuddin","Rajasthan Royals","4","BF Bowden","K Srinath",,,"true",,,
"256","Mumbai","Indian Premier League","2012/04/11","male","J Srinath","2012","Mumbai Indians","Rajasthan Royals","field","Rajasthan Royals","Aleem Dar","Wankhede Stadium","KA Pollard","S Das","Mumbai Indians","12","BNJ Oxenford","PG Pathak",,"27",,,,
"130","Mumbai","Indian Premier League","2010/03/22","male","Yashpal Sharma","2009/10","Mumbai Indians","Kolkata Knight Riders","bat","Kolkata Knight Riders","SS Hazare","Brabourne Stadium","SR Tendulkar","HDPK Dharmasena","Mumbai Indians","17","SJA Taufel","VM Bandiwadekar","7",,,,,
"386","Pune","Indian Premier League","2013/05/19","male","RS Madugalle","2013","Pune Warriors","Delhi Daredevils","bat","Pune Warriors","NJ Llong","Subrata Roy Sahara Stadium","LJ Wright","VA Kulkarni","Pune Warriors","71","SJA Taufel","PG Pathak",,"38",,,,
"573","Delhi","Indian Premier League","2017/04/15","male","S Chaturvedi","2017","Delhi Daredevils","Kings XI Punjab","bat","Delhi Daredevils","YC Barde","Feroz Shah Kotla","CJ Anderson","CK Nandan","Delhi Daredevils","15","Nitin Menon","K Srinivasan",,"51",,,,
"369","Mumbai","Indian Premier League","2013/05/07","male","RS Mahanama","2013","Mumbai Indians","Kolkata Knight Riders","bat","Mumbai Indians","HDPK Dharmasena","Wankhede Stadium","SR Tendulkar","CK Nandan","Mumbai Indians","53","S Ravi","RM Deshpande",,"65",,,,
"555","Bangalore","Indian Premier League","2016/05/24","male","RS Mahanama","2016","Gujarat Lions","Royal Challengers Bangalore","field","Royal Challengers Bangalore","HDPK Dharmasena","M Chinnaswamy Stadium","AB de Villiers","BNJ Oxenford","Royal Challengers Bangalore",,,,"4",,,"0.1","A Deshmukh",
"533","Bangalore","Indian Premier League","2016/05/07","male","Chinmay Sharma","2016","Royal Challengers Bangalore","Rising Pune Supergiants","field","Royal Challengers Bangalore","CB Gaffaney","M Chinnaswamy Stadium","V Kohli","A Nand Kishore","Royal Challengers Bangalore","35","BNJ Oxenford","YC Barde","7",,,,,
"79","East London","Indian Premier League","2009/05/01","male","Yashpal Sharma","2009","Kolkata Knight Riders","Mumbai Indians","bat","Mumbai Indians","SK Tarapore","Buffalo Park","JP Duminy","BR Doctrove","Mumbai Indians","23","M Erasmus","S George",,,"true",,,
